NroSeq;NfDatEmis;NfNumero;NfForCod;MunNom;TraBairro;ItemNumSeq;ItemProCod;ProNom;ItemQtdade;ProVlrPreco;ProVlrPLiq;ProNomEmbEstoque
1;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;1;2915;F CEBOLA ROXA KG;0,610000014;13,89;1000;KG
2;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;2;7;F TOMATE PAULISTA KG;1,815000057;6,69;1000;KG
3;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;3;110;F CEBOLA NACIONAL KG;1,129999995;7,69;1000;KG
4;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;4;83;F ALFACE;1;2,99;100;UN
5;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;5;83;F ALFACE;1;2,99;100;UN
6;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;6;3093;DETERG LIQ LIMPOL CRISTAL 500ML;1;2,99;500;UN
7;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;7;3093;DETERG LIQ LIMPOL CRISTAL 500ML;1;2,99;500;UN
8;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;8;3093;DETERG LIQ LIMPOL CRISTAL 500ML;1;2,99;500;UN
9;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;9;6719;F RUCULA MOLHO;1;2,99;200;UN
10;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;10;83;F ALFACE;1;2,99;100;UN
11;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;11;6719;F RUCULA MOLHO;1;2,99;200;UN
12;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;12;83;F ALFACE;1;2,99;100;UN
13;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;13;6719;F RUCULA MOLHO;1;2,99;200;UN
14;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;14;13184;SACO LIXO REFORCADO 100LT C5;1;4,99;100;PCT
15;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;15;9472;SACO LIXO TRASH 200L 5 UND;1;6,79;50;PCT
16;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;16;17590;TOALHA BRUNS ROSTO LISTRADA 38X66CM;1;5,89;100;UN
17;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;17;24901;BOLSA BELMONDI NAO ALVEJADA 54X78;1;7,49;50;UN
18;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;18;36183;SABONETE LIQ HEDERA REFIL AVEIA 370ML;1;6,24;370;FRS
19;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;19;6692;F LIMAO TAITTI SOLTO KG;0,370000005;3,99;1000;KG
20;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;20;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
21;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;21;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
22;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;22;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
23;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;23;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
24;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;24;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
25;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;25;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
26;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;2;6797;PAO CACETINHO KG;0,405999988;13,99;1000;KG
27;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;3;6683;F BANANA PRATA KG;0,569999993;5,99;1000;KG
28;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;4;6337;LENTILHA BELLA DICA PCT 400G;1;7,99;400;UN
29;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;5;54864;CREME LEITE CCGL UHT 17% GORDURA TP 200G;1;3,79;200;TP
30;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;6;26981;BACON CERATO CRAIOVAC KG;0,209999993;42,99;1000;KG
31;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;7;32013;MORTADELA SADIA TRAD MAIS FINAS DEFUMADA FAT 200G;1;7,95;200;PCT
32;2024-01-02 00:00:00;630371;26838;FREDERICO WESTPHALEN;IPIRANGA;1;8907;AGUA MIN SARANDI CGAS DESC 500ML;1;0,99;500;UN
33;2024-01-02 00:00:00;630380;38046;FREDERICO WESTPHALEN;CENTRO;1;8907;AGUA MIN SARANDI CGAS DESC 500ML;1;0,99;500;UN
34;2024-01-02 00:00:00;630380;38046;FREDERICO WESTPHALEN;CENTRO;2;1734;SANDUICHE CACETINHO KG;0,134000003;29,98;1000;KG
35;2024-01-02 00:00:00;630386;35513;FREDERICO WESTPHALEN;ITAPAGE;1;53376;SANDUICHE SALAME KG;0,118000001;33,98;1000;KG
36;2024-01-02 00:00:00;630411;36180;FREDERICO WESTPHALEN;ITAPAGE;1;55953;PANETTONE CASA DORO FRUTAS CAIXA 400G;1;9,98;400;UN
37;2024-01-02 00:00:00;630411;36180;FREDERICO WESTPHALEN;ITAPAGE;2;55953;PANETTONE CASA DORO FRUTAS CAIXA 400G;1;9,98;400;UN
38;2024-01-02 00:00:00;630486;36446;FREDERICO WESTPHALEN;SAO FRANCISCO DE PAULA;1;1734;SANDUICHE CACETINHO KG;0,136000007;29,98;1000;KG
39;2024-01-02 00:00:00;630486;36446;FREDERICO WESTPHALEN;SAO FRANCISCO DE PAULA;2;36179;PAO QUEIJO BREAD KING TRADICIONAL KG;0,123999998;41,29;1000;KG
40;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;1;1078;FRETE RANCHO CIDADE;1;4,98;1000;UN
41;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;2;46316;OVOS VERMELHO CIGANSKI GALINHA PLASTIFICADO C30;1;23,99;1000;BJA
42;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;3;46316;OVOS VERMELHO CIGANSKI GALINHA PLASTIFICADO C30;1;23,99;1000;BJA
43;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;4;46316;OVOS VERMELHO CIGANSKI GALINHA PLASTIFICADO C30;1;23,99;1000;BJA
44;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;5;6700;F CENOURA SOLTA KG;1,595000029;4,29;1000;KG
45;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;6;6694;F BETERRABA SOLTA KG;2,565000057;5,39;1000;KG
46;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;8;6717;F BROCOLI MOLHO;1;6,99;300;UN
47;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;9;6717;F BROCOLI MOLHO;1;6,99;300;UN
48;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;10;6717;F BROCOLI MOLHO;1;6,99;300;UN
49;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;11;6717;F BROCOLI MOLHO;1;6,99;300;UN
50;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;12;6717;F BROCOLI MOLHO;1;6,99;300;UN
51;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;13;50;F BERINJELA;0,349999994;6,99;1000;KG
52;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;14;110;F CEBOLA NACIONAL KG;1,575000048;7,69;1000;KG
53;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;15;6697;F REPOLHO VERDE KILO;3,125;9,99;1000;KG
54;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;16;6687;F PIMENTAO VERDE KG;0,524999976;9,99;1000;KG
55;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;17;83;F ALFACE;1;2,99;100;UN
56;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;18;83;F ALFACE;1;2,99;100;UN
57;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;19;83;F ALFACE;1;2,99;100;UN
58;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;20;83;F ALFACE;1;2,99;100;UN
59;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;21;83;F ALFACE;1;2,99;100;UN
60;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;22;6716;F COUVE FOLHA MOLHO;1;2,99;300;UN
61;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;23;6716;F COUVE FOLHA MOLHO;1;2,99;300;UN
62;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;24;6716;F COUVE FOLHA MOLHO;1;2,99;300;UN
63;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;25;6721;F RADICHA MOLHO;1;2,99;200;UN
64;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;26;6721;F RADICHA MOLHO;1;2,99;200;UN
65;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;27;6721;F RADICHA MOLHO;1;2,99;200;UN
66;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;28;6721;F RADICHA MOLHO;1;2,99;200;UN
67;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;29;6718;F TEMPERO VERDE MOLHO;1;2,99;200;UN
68;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;30;6718;F TEMPERO VERDE MOLHO;1;2,99;200;UN
69;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;31;6718;F TEMPERO VERDE MOLHO;1;2,99;200;UN
70;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;32;6718;F TEMPERO VERDE MOLHO;1;2,99;200;UN
71;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;33;6718;F TEMPERO VERDE MOLHO;1;2,99;200;UN
72;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;34;6718;F TEMPERO VERDE MOLHO;1;2,99;200;UN
73;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;35;6718;F TEMPERO VERDE MOLHO;1;2,99;200;UN
74;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;36;8091;F CHICORIA;1;2,99;200;UN
75;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;37;8091;F CHICORIA;1;2,99;200;UN
76;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;38;8091;F CHICORIA;1;2,99;200;UN
77;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;39;8091;F CHICORIA;1;2,99;200;UN
78;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;40;6719;F RUCULA MOLHO;1;2,99;200;UN
79;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;41;6719;F RUCULA MOLHO;1;2,99;200;UN
80;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;42;30549;LEITE AURORA UHT INTEGRAL TAMPA ROSCA 1LT;1;5,29;1000;TP
81;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;43;30549;LEITE AURORA UHT INTEGRAL TAMPA ROSCA 1LT;1;5,29;1000;TP
82;2024-01-02 00:00:00;630531;37719;FREDERICO WESTPHALEN;CENTRO;44;30549;LEITE AURORA UHT INTEGRAL TAMPA ROSCA 1LT;10;5,29;1000;TP
83;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;1;1146;IOG BATAVO PEDACOS PESSEGO POTE 450G;1;9,89;450;PTE
84;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;2;35449;IOG BATAVO GREGO FLOCOS PT 450G;1;9,79;450;PTE
85;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;3;1950;IOG BATAVO PEDACOS MORANGO 450G;1;9,89;450;PTE
86;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;4;1950;IOG BATAVO PEDACOS MORANGO 450G;1;9,89;450;PTE
87;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;5;23321;IOG BATAVO BOB ESPONJA TRAD CHOCOLATE 125G;1;4,69;125;UN
88;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;6;35449;IOG BATAVO GREGO FLOCOS PT 450G;1;9,79;450;PTE
89;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;7;23321;IOG BATAVO BOB ESPONJA TRAD CHOCOLATE 125G;1;4,69;125;UN
90;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;8;23321;IOG BATAVO BOB ESPONJA TRAD CHOCOLATE 125G;1;4,69;125;UN
91;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;9;23321;IOG BATAVO BOB ESPONJA TRAD CHOCOLATE 125G;1;4,69;125;UN
92;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;10;29455;ERVA MATE REALEZA S ACUCAR 1KG;1;15,99;1000;PCT
93;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;11;29455;ERVA MATE REALEZA S ACUCAR 1KG;1;15,99;1000;PCT
94;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;12;20962;MASSA GERMANI OVOS PENNE 500G;1;4,19;500;PCT
95;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;13;20962;MASSA GERMANI OVOS PENNE 500G;1;4,19;500;PCT
96;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;14;21496;GELATINA BOM GOSTO FRAMBOESA 20G;1;1,35;20;CX
97;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;15;8017;GELATINA BOM GOSTO ACAI 20G;1;1,35;20;CX
98;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;16;18059;GELATINA BOM GOSTO MORANGO 20G;1;1,29;20;CX
99;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;17;31141;PO PUDIM BOM GOSTO CARAMELO 45G;1;2,19;45;CX
100;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;18;31140;PO PUDIM BOM GOSTO BAUNILHA 45G;1;2,19;45;CX
101;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;19;12496;MASSA GERMANI OVOS PARAFUSO 500G;1;4,19;500;PCT
102;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;20;16135;ERVA MATE TERERE KARAJAS ICE MENTOL PCT 400G;1;5,98;400;PCT
103;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;21;12496;MASSA GERMANI OVOS PARAFUSO 500G;1;4,19;500;PCT
104;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;22;62905;PRESUNTO AURORA COZ FATIADO 180G;1;7,99;180;PCT
105;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;23;12490;MASSA GERMANI OVOS MACARAO MEDIO 500G;1;4,19;500;PCT
106;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;24;20962;MASSA GERMANI OVOS PENNE 500G;1;4,19;500;PCT
107;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;25;24214;MASSA PASTAMIA CASEIRA SPAGHETTI B1 BJA 400G;1;5,49;400;BJA
108;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;26;23737;MASSA PASTAMIA CASEIRA FETTUCCINE B3 BJA 400G;1;5,49;400;BJA
109;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;27;24214;MASSA PASTAMIA CASEIRA SPAGHETTI B1 BJA 400G;1;5,49;400;BJA
110;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;28;23737;MASSA PASTAMIA CASEIRA FETTUCCINE B3 BJA 400G;1;5,49;400;BJA
111;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;29;83;F ALFACE;1;2,99;100;UN
112;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;30;83;F ALFACE;1;2,99;100;UN
113;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;31;6719;F RUCULA MOLHO;1;2,99;200;UN
114;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;32;6722;F AGRIAO MOLHO;1;2,99;200;UN
115;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;33;46572;LINGUICA FRANGO PIOVESAN S CONDIMENTO PACOTE 700G;1;13,29;700;PCT
116;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;34;46572;LINGUICA FRANGO PIOVESAN S CONDIMENTO PACOTE 700G;1;13,29;700;PCT
117;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;35;46572;LINGUICA FRANGO PIOVESAN S CONDIMENTO PACOTE 700G;1;13,29;700;PCT
118;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;36;46572;LINGUICA FRANGO PIOVESAN S CONDIMENTO PACOTE 700G;1;13,29;700;PCT
119;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;37;46572;LINGUICA FRANGO PIOVESAN S CONDIMENTO PACOTE 700G;1;13,29;700;PCT
120;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;38;28739;FILE PEITO FRANGO MAIS FRANGO BANDEJA 1KG;1;18,59;1000;BJA
121;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;39;602;F UVA COLONIAL KG;1,524999976;11,99;1000;KG
122;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;40;8468;CARCACA DORSO FRANGO GRANEL KG;2,845999956;4,99;1000;KG
123;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;41;6698;F MAMAO FORMOSA KG;1,779999971;7,79;1000;KG
124;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;42;46316;OVOS VERMELHO CIGANSKI GALINHA PLASTIFICADO C30;1;23,99;1000;BJA
125;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;43;862;F BATATA INGLESA MONALISA KG;0,754999995;7,99;1000;KG
126;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;44;2587;AGUA MIN VALLE AZUL SGAS DESC 500ML;12;1,05;510;PT
127;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;45;5170;AGUA MIN VALLE AZUL CGAS DESC 500ML;24;1,08;510;PT
128;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;46;16676;GELADINHO GEL FRUTA 40UND 55ML CADA;1;15,98;2,200000048;PCT
129;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;47;5734;FEIJAO ARBAZA PRETO PCT 1KG;1;7,99;1000;PCT
130;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;48;14242;SAL MARINHO JASMINE MOIDO 1KG;1;10,79;1000;PCT
131;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;49;803;FARINHA MILHO BEATRIZ MEDIA 1KG;1;4,98;1000;PCT
132;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;50;803;FARINHA MILHO BEATRIZ MEDIA 1KG;1;4,98;1000;PCT
133;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;51;63046;LAVA ROUPA PO TIXAN YPE MACIEZ CX 1600KG;1;23,8;1600;CX
134;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;52;10945;DETERG LIQ LIMPOL NEUTRO 500ML;1;2,99;500;FRS
135;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;53;23240;AGUA SANIT GIRANDO SOL VERDE 1LT;1;3,98;1000;UN
136;2024-01-02 00:00:00;630627;31259;FREDERICO WESTPHALEN;SANTO ANTONIO;54;27225;ALVEJANTE TAQ LIMPO S CLORO 1L;1;7,49;1000;UN
137;2024-01-02 00:00:00;630672;34500;FREDERICO WESTPHALEN;CENTRO;1;83;F ALFACE;1;2,99;100;UN
138;2024-01-02 00:00:00;630672;34500;FREDERICO WESTPHALEN;CENTRO;2;6719;F RUCULA MOLHO;1;2,99;200;UN
139;2024-01-02 00:00:00;630672;34500;FREDERICO WESTPHALEN;CENTRO;3;6683;F BANANA PRATA KG;0,745000005;5,99;1000;KG
140;2024-01-02 00:00:00;630672;34500;FREDERICO WESTPHALEN;CENTRO;4;43;F GENGIBRE KG;0,090000004;14,39;1000;KG
141;2024-01-02 00:00:00;630672;34500;FREDERICO WESTPHALEN;CENTRO;5;38021;F LIMAO SICILIANO SOLTO KG;0,254999995;11,99;1000;KG
142;2024-01-02 00:00:00;630672;34500;FREDERICO WESTPHALEN;CENTRO;6;39235;LEITE ELEGE UHT INTEGRAL TRADIC 3% GORD PET 1L;1;5,49;1000;PT
143;2024-01-02 00:00:00;630672;34500;FREDERICO WESTPHALEN;CENTRO;7;6797;PAO CACETINHO KG;0,307999998;13,99;1000;KG
144;2024-01-02 00:00:00;630672;34500;FREDERICO WESTPHALEN;CENTRO;8;5570;AGUA SANIT MAZZAROLLO 1L;1;14,19;1000;UN
145;2024-01-02 00:00:00;630672;34500;FREDERICO WESTPHALEN;CENTRO;9;15450;AGUA MIN DA PEDRA PET 20L;1;26,78;20000;UN
146;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;1;803;FARINHA MILHO BEATRIZ MEDIA 1KG;1;4,98;1000;PCT
147;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;2;19790;SABONETE DOVE TRADICIONAL 90G;1;4,99;90;CX
148;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;3;445;ARROZ CIAGRO BRANCO TP1 2KG;1;13,99;2000;PCT
149;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;4;3093;DETERG LIQ LIMPOL CRISTAL 500ML;1;2,99;500;UN
150;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;5;3093;DETERG LIQ LIMPOL CRISTAL 500ML;1;2,99;500;UN
151;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;6;3093;DETERG LIQ LIMPOL CRISTAL 500ML;1;2,99;500;UN
152;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;7;8942;CREME DENTAL SORRISO DENTES BRANCOS 90G;1;4,79;90;UN
153;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;8;15291;CREME DENTAL SORRISO FRESH PLUS MENTHOL IMPACT 90G;1;6,19;90;UN
154;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;9;60730;VINAGRE VINAGRATTO MACA FRC 750ML;1;6,99;750;FRS
155;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;10;8744;VINAGRE ROSINA ALCOOL FRC 750ML;1;2,75;750;FRS
156;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;11;2361;REFRIG PEPSI COLA PET 2LT;1;6,99;2000;PT
157;2024-01-02 00:00:00;630673;20367;FREDERICO WESTPHALEN;BARRIL;12;33952;PAPEL HIG DUETTO PERFUMADO FOLHA DUPLA 30M 12UN;1;18,29;1000;PCT
158;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;1;3373;COXA SOBRECOXA FRANGO CONG INT KG;20;9,99;1000;KG
159;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;2;47506;FUBA MILHO SANTA CATARINA ESPECIAL 1KG ***;1;7,98;1000;PCT
160;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;3;60126;F ALHO VASSOLER ROXO 100G;1;4,99;100;PCT
161;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;4;5734;FEIJAO ARBAZA PRETO PCT 1KG;1;7,99;1000;PCT
162;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;5;5734;FEIJAO ARBAZA PRETO PCT 1KG;1;7,99;1000;PCT
163;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;6;5734;FEIJAO ARBAZA PRETO PCT 1KG;1;7,99;1000;PCT
164;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;7;5734;FEIJAO ARBAZA PRETO PCT 1KG;1;7,99;1000;PCT
165;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;8;5598;ARROZ ALEGRE BRANCO TP1 5KG;1;29,98;5000;PCT
166;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;9;5598;ARROZ ALEGRE BRANCO TP1 5KG;1;29,98;5000;PCT
167;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;10;5734;FEIJAO ARBAZA PRETO PCT 1KG;1;7,99;1000;PCT
168;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;11;32979;FARINHA TRIGO ORQUIDEA PAES TP1 5KG;1;21,98;5000;PCT
169;2024-01-02 00:00:00;630674;794;FREDERICO WESTPHALEN;INTERIOR;12;32979;FARINHA TRIGO ORQUIDEA PAES TP1 5KG;1;21,98;5000;PCT
